district_en,district_th,amphure_en,amphure_th,province_en,province_th,zipcode,province_code,district_code,amphure_code,geo_code
Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100101,1001,2
Wang Burapha Phirom,วังบูรพาภิรมย์,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100102,1001,2
Wat Ratchabophit,วัดราชบพิธ,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100103,1001,2
Samran Rat,สำราญราษฎร์,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100104,1001,2
San Chao Pho Suea,ศาลเจ้าพ่อเสือ,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100105,1001,2
Sao Chingcha,เสาชิงช้า,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100106,1001,2
Bowon Niwet,บวรนิเวศ,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100107,1001,2
Talat Yot,ตลาดยอด,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100108,1001,2
Chana Songkhram,ชนะสงคราม,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100109,1001,2
Ban Phan Thom,บ้านพานถม,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100110,1001,2
Bang Khun Phrom,บางขุนพรหม,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100111,1001,2
Wat Sam Phraya,วัดสามพระยา,Khet Phra Nakhon,เขตพระนคร,Bangkok,กรุงเทพมหานคร,10200,10,100112,1001,2
Dusit,ดุสิต,Khet Dusit,เขตดุสิต,Bangkok,กรุงเทพมหานคร,10300,10,100201,1002,2
Wachiraphayaban,วชิรพยาบาล,Khet Dusit,เขตดุสิต,Bangkok,กรุงเทพมหานคร,10300,10,100202,1002,2
Suan Chit Lada,สวนจิตรลดา,Khet Dusit,เขตดุสิต,Bangkok,กรุงเทพมหานคร,10300,10,100203,1002,2
Si Yaek Maha Nak,สี่แยกมหานาค,Khet Dusit,เขตดุสิต,Bangkok,กรุงเทพมหานคร,10300,10,100204,1002,2
*Bang Sue,*บางซื่อ,Khet Dusit,เขตดุสิต,Bangkok,กรุงเทพมหานคร,0,10,100205,1002,2
Thanon Nakhon Chai Si,ถนนนครไชยศรี,Khet Dusit,เขตดุสิต,Bangkok,กรุงเทพมหานคร,10300,10,100206,1002,2
*Sam Sen Nai,*สามเสนใน,Khet Dusit,เขตดุสิต,Bangkok,กรุงเทพมหานคร,0,10,100299,1002,2
Krathum Rai,กระทุ่มราย,Khet Nong Chok,เขตหนองจอก,Bangkok,กรุงเทพมหานคร,10530,10,100301,1003,2
Nong Chok,หนองจอก,Khet Nong Chok,เขตหนองจอก,Bangkok,กรุงเทพมหานคร,10530,10,100302,1003,2
Khlong Sip,คลองสิบ,Khet Nong Chok,เขตหนองจอก,Bangkok,กรุงเทพมหานคร,10530,10,100303,1003,2
Khlong Sip Song,คลองสิบสอง,Khet Nong Chok,เขตหนองจอก,Bangkok,กรุงเทพมหานคร,10530,10,100304,1003,2
Khok Faet,โคกแฝด,Khet Nong Chok,เขตหนองจอก,Bangkok,กรุงเทพมหานคร,10530,10,100305,1003,2
Khu Fang Nuea,คู้ฝั่งเหนือ,Khet Nong Chok,เขตหนองจอก,Bangkok,กรุงเทพมหานคร,10530,10,100306,1003,2
Lam Phak Chi,ลำผักชี,Khet Nong Chok,เขตหนองจอก,Bangkok,กรุงเทพมหานคร,10530,10,100307,1003,2
Lam Toiting,ลำต้อยติ่ง,Khet Nong Chok,เขตหนองจอก,Bangkok,กรุงเทพมหานคร,10530,10,100308,1003,2
Maha Phruettharam,มหาพฤฒาราม,Khet Bang Rak,เขตบางรัก,Bangkok,กรุงเทพมหานคร,10500,10,100401,1004,2
Si Lom,สีลม,Khet Bang Rak,เขตบางรัก,Bangkok,กรุงเทพมหานคร,10500,10,100402,1004,2
Suriyawong,สุริยวงศ์,Khet Bang Rak,เขตบางรัก,Bangkok,กรุงเทพมหานคร,10500,10,100403,1004,2
Bang Rak,บางรัก,Khet Bang Rak,เขตบางรัก,Bangkok,กรุงเทพมหานคร,10500,10,100404,1004,2
